id,KDA,WinRate,BanRate,Builds,CS,Role,Runes,Vision
266,2.682283076,0.45,0.04,"['6630', '3047', '3071', '3074', '6333', '3053']",4.698587762,Top,"[8010, 9111, 9105, 8299, 8139, 8135]",7.530478037
103,3.543636572,0.49,0.03,"['6655', '3020', '3165', '3157', '3089', '4628']",4.181768022,Middle,"[8112, 8139, 8138, 8106, 8226, 8210]",9.145240247
84,2.928018335,0.45,0.16,"['4633', '3020', '3157', '3100', '3165', '4637']",4.143335455,Middle,"[8021, 8009, 9105, 8014, 8139, 8135]",8.240166852
12,3.477279472,0.5,0,"['3190', '3117', '3050', '3109', '3075', '3107']",1.197853563,Support,"[8439, 8446, 8429, 8451, 8345, 8347]",16.90514008
32,3.773342375,0.54,0.08,"['3068', '3047', '3075', '4637', '3001', '3143']",0.75665397,Jungle,"[8010, 9111, 9105, 8299, 8126, 8135]",7.925653853
34,3.968383812,0.51,0.01,"['6653', '3020', '3157', '4637', '3165', '3089']",4.059574704,Middle,"[8112, 8126, 8138, 8135, 8009, 8014]",10.02572312
1,3.179556023,0.51,0.02,"['6655', '3020', '3157', '3165', '3089', '3135']",4.011807644,Middle,"[8112, 8126, 8138, 8105, 8234, 8237]",9.165
523,2.694926573,0.46,0.03,"['6672', '3006', '3085', '3031', '3072', '3508']",4.822590361,Bottom,"[8010, 9101, 9103, 8017, 8139, 8135]",7.929937748
22,3.1735552,0.49,0.04,"['6672', '3006', '3085', '3153', '3031', '3508']",4.27774504,Bottom,"[8008, 8009, 9104, 8014, 8304, 8410]",8.017937059
136,3.351259405,0.47,0,"['6653', '3116', '3020', '3157', '4637', '3165']",4.181162981,Middle,"[8112, 8139, 8138, 8105, 8345, 8352]",9.091578087
268,2.215795157,0.43,0,"['6653', '3020', '3115', '3157', '3165', '3116']",4.640645704,Middle,"[8008, 8009, 9104, 8014, 8226, 8210]",8.469961527
432,3.830332561,0.49,0,"['4005', '3009', '3742', '3107', '6616', '3094']",0.919139073,Support,"[8465, 8463, 8473, 8453, 8136, 8105]",19.63878494
53,3.360869416,0.49,0.31,"['3190', '3117', '3050', '3109', '3075', '3110']",1.087673485,Support,"[8439, 8446, 8429, 8451, 8345, 8347]",15.64185571
63,2.859812507,0.54,0.23,"['6653', '3020', '4637', '3157', '3165', '3116']",1.932738236,Support,"[8128, 8139, 8138, 8135, 8226, 8237]",17.4490233
201,3.811368868,0.49,0.01,"['3190', '3047', '3050', '3109', '3075', '3143']",1.176373683,Support,"[8465, 8463, 8473, 8242, 8304, 8345]",17.21661903
51,3.251863297,0.48,0.15,"['6672', '3006', '3095', '3031', '3094', '6676']",4.984357794,Bottom,"[8021, 8009, 9103, 8014, 8275, 8236]",7.879422383
164,2.566071087,0.45,0.01,"['3078', '3074', '3047', '3053', '6333', '6609']",4.236479751,Top,"[8437, 8401, 8473, 8451, 8304, 8345]",8.002867795
69,2.865895279,0.49,0.02,"['6653', '3116', '3157', '3165', '4637', '3089']",4.919303838,Middle,"[8010, 8009, 9105, 8014, 8139, 8135]",8.634061338
31,3.486471094,0.51,0.02,"['6662', '3047', '3075', '3083', '3143', '3193']",4.219499152,Top,"[8437, 8446, 8429, 8451, 9111, 9105]",8.18148281
42,2.877031411,0.46,0,"['3078', '3020', '3094', '3031', '3072', '3033']",4.868670695,Middle,"[8021, 8009, 9103, 8014, 8304, 8345]",8.337054919
122,2.759221306,0.48,0.41,"['6631', '3047', '3053', '3742', '3071', '3065']",4.909312288,Top,"[8010, 9111, 9105, 8299, 8275, 8234]",7.861545077
131,3.234081949,0.52,0.08,"['4636', '3020', '3157', '3100', '3115', '3089']",4.046539047,Middle,"[8112, 8143, 8138, 8135, 8233, 8236]",8.461737209
119,3.15593735,0.48,0.12,"['6692', '3006', '3031', '3072', '6676', '3094']",4.866402414,Bottom,"[9923, 8139, 8138, 8135, 8009, 9103]",7.318880413
36,3.227303431,0.5,0.01,"['3068', '3065', '3047', '3075', '3083', '3742']",3.405202691,Top,"[8021, 9111, 9105, 8299, 8304, 8410]",7.557716483
245,3.578101622,0.52,0.09,"['3152', '3020', '3100', '3157', '3165', '3089']",2.617061655,Jungle,"[8112, 8143, 8138, 8135, 8233, 8236]",7.994503139
60,3.180213626,0.49,0,"['4636', '3020', '3157', '3165', '3100', '3135']",0.725867362,Jungle,"[8112, 8126, 8138, 8105, 8275, 8232]",8.500605851
28,3.355326809,0.47,0.02,"['4636', '3020', '3100', '3089', '3041', '3135']",0.555808277,Jungle,"[8112, 8143, 8138, 8105, 8233, 8236]",7.645291005
81,3.300243152,0.47,0.03,"['6632', '3158', '3153', '3074', '6694', '3004']",4.639537495,Bottom,"[8010, 8009, 9103, 8014, 8226, 8210]",7.979284936
9,3.071272779,0.48,0,"['3152', '3020', '3157', '3165', '3089', '3135']",1.076370855,Jungle,"[8128, 8126, 8138, 8106, 8313, 8347]",4.416462668
