id,KDA,WinRate,BanRate,Builds,CS,Role,Runes,Vision
266,2.776276591,0.48,0.06,"['6630', '3047', '3071', '3074', '3053', '6333']",5.709714369,Top,"[8010, 9111, 9105, 8299, 8139, 8135]",9.100051361
103,3.695401854,0.51,0.01,"['6655', '3020', '3157', '3165', '3089', '4628']",5.458294418,Middle,"[8112, 8139, 8138, 8106, 8226, 8210]",11.35904571
84,2.881958876,0.45,0.15,"['4633', '3020', '3157', '3100', '3165', '4637']",5.324729754,Middle,"[8021, 8009, 9105, 8014, 8139, 8135]",9.820659382
12,3.714383364,0.49,0,"['3190', '3117', '3050', '3109', '3075', '3107']",1.270645365,Support,"[8439, 8446, 8429, 8451, 8345, 8347]",24.99010124
32,3.769977268,0.52,0.1,"['3068', '3047', '3075', '4637', '3001', '3143']",0.8475015,Jungle,"[8010, 9111, 9105, 8299, 8126, 8135]",8.876576964
34,3.877295305,0.53,0.08,"['6653', '3020', '3157', '4637', '3165', '3089']",5.436086388,Middle,"[8112, 8126, 8138, 8135, 8009, 8014]",11.47787611
1,3.317795002,0.52,0.01,"['6655', '3020', '3157', '3165', '3089', '3135']",5.133211859,Middle,"[8112, 8126, 8138, 8105, 8234, 8237]",11.37731372
523,2.714689572,0.46,0.03,"['6672', '3006', '3085', '3031', '3072', '3046']",6.095938557,Bottom,"[8010, 9101, 9103, 8017, 8139, 8135]",9.817260817
22,3.229227524,0.5,0.01,"['6672', '3006', '3085', '3153', '3031', '3508']",5.063746149,Bottom,"[8008, 8009, 9104, 8014, 8304, 8410]",12.19559798
136,3.539550548,0.49,0,"['4005', '3116', '3020', '3157', '3165', '4637']",5.265164669,Middle,"[8112, 8139, 8138, 8105, 8345, 8352]",10.34682081
268,2.697239513,0.46,0,"['6653', '3020', '3115', '3157', '3089', '3165']",5.938188188,Middle,"[8008, 8009, 9104, 8014, 8226, 8210]",10.40539587
432,4.112679921,0.51,0,"['4005', '3009', '3742', '3107', '6616', '3094']",0.874244824,Support,"[8465, 8463, 8473, 8453, 8136, 8105]",31.40514331
53,3.50419624,0.49,0.07,"['3190', '3117', '3050', '3109', '3075', '3107']",1.241055985,Support,"[8439, 8446, 8429, 8451, 8345, 8347]",24.47067649
63,2.477118214,0.51,0.1,"['6653', '3020', '4637', '3157', '3165', '3116']",1.924177527,Support,"[8128, 8139, 8138, 8135, 8226, 8237]",24.53091025
201,4.078548531,0.48,0,"['3190', '3050', '3047', '3109', '3075', '3107']",1.263354517,Support,"[8465, 8463, 8473, 8242, 8345, 8347]",24.68311805
51,3.151886741,0.48,0.1,"['6672', '3006', '3095', '3031', '3094', '6676']",6.161374551,Bottom,"[8021, 8009, 9103, 8014, 8275, 8236]",10.10980451
164,2.745022416,0.48,0.03,"['3078', '3074', '3047', '3053', '6333', '6609']",5.470578105,Top,"[8437, 8401, 8473, 8451, 8304, 8345]",9.296821024
69,2.757136362,0.49,0.03,"['6653', '3116', '3157', '3165', '4637', '3089']",6.150069436,Middle,"[8010, 8009, 9105, 8014, 8139, 8135]",10.59810726
31,3.441157552,0.52,0.01,"['6662', '3075', '3047', '4401', '3193', '3143']",5.374889748,Top,"[8437, 8446, 8429, 8451, 9111, 9105]",9.78116819
42,3.127897384,0.48,0,"['3078', '3020', '3094', '3031', '3508', '3033']",6.091041852,Middle,"[8021, 8009, 9103, 8014, 8304, 8345]",10.36716153
