id,KDA,WinRate,BanRate,Builds,CS,Role,Runes,Vision
266,2.776353094,0.48,0.06,"['6630', '3047', '3071', '3074', '3053', '6333']",5.704540994,Top,"[8010, 9111, 9105, 8299, 8139, 8135]",9.080878252
103,3.68929119,0.51,0.01,"['6655', '3020', '3157', '3165', '3089', '4628']",5.451407389,Middle,"[8112, 8139, 8138, 8106, 8226, 8210]",11.34457035
84,2.881116764,0.45,0.15,"['4633', '3020', '3157', '3100', '3165', '4637']",5.31740113,Middle,"[8021, 8009, 9105, 8014, 8139, 8135]",9.810472732
12,3.71108387,0.49,0,"['3190', '3117', '3050', '3109', '3075', '3107']",1.270268192,Support,"[8439, 8446, 8429, 8451, 8345, 8347]",24.94141611
32,3.775706631,0.52,0.1,"['3068', '3047', '3075', '4637', '3001', '3143']",0.848933149,Jungle,"[8010, 9111, 9105, 8299, 8126, 8135]",8.873151483
34,3.873159818,0.53,0.08,"['6653', '3020', '3157', '4637', '3165', '3089']",5.434359064,Middle,"[8112, 8126, 8138, 8135, 8009, 8014]",11.47915055
1,3.307820049,0.52,0.01,"['6655', '3020', '3157', '3165', '3089', '3135']",5.130310351,Middle,"[8112, 8126, 8138, 8105, 8234, 8237]",11.36503243
523,2.722330724,0.46,0.03,"['6672', '3006', '3085', '3031', '3072', '3046']",6.093851668,Bottom,"[8010, 9101, 9103, 8017, 8139, 8135]",9.825825826
22,3.227854653,0.5,0.01,"['6672', '3006', '3085', '3153', '3031', '3508']",5.061702449,Bottom,"[8008, 8009, 9104, 8014, 8304, 8410]",12.17893853
136,3.544616554,0.5,0,"['4005', '3116', '3020', '3157', '3165', '4637']",5.25687949,Middle,"[8112, 8139, 8138, 8105, 8345, 8352]",10.34037368
268,2.701176166,0.46,0,"['6653', '3020', '3115', '3157', '3089', '3165']",5.932756309,Middle,"[8008, 8009, 9104, 8014, 8226, 8210]",10.39668412
432,4.110067539,0.51,0,"['4005', '3009', '3742', '3107', '6616', '3094']",0.874802365,Support,"[8465, 8463, 8473, 8453, 8136, 8105]",31.36849588
53,3.507094512,0.49,0.08,"['3190', '3117', '3050', '3109', '3075', '3107']",1.239447446,Support,"[8439, 8446, 8429, 8451, 8345, 8347]",24.42461538
63,2.482175469,0.51,0.11,"['6653', '3020', '4637', '3157', '3165', '3116']",1.926365153,Support,"[8128, 8139, 8138, 8135, 8226, 8237]",24.48352929
201,4.083869373,0.48,0,"['3190', '3050', '3047', '3109', '3075', '3107']",1.262683801,Support,"[8465, 8463, 8473, 8242, 8345, 8347]",24.63962639
51,3.153335088,0.48,0.1,"['6672', '3006', '3095', '3031', '3094', '6676']",6.155090291,Bottom,"[8021, 8009, 9103, 8014, 8275, 8236]",10.10413117
164,2.736106444,0.48,0.03,"['3078', '3074', '3047', '3053', '6333', '6609']",5.466290162,Top,"[8437, 8401, 8473, 8451, 8304, 8345]",9.279250022
69,2.756135497,0.49,0.03,"['6653', '3116', '3157', '3165', '4637', '3089']",6.14059492,Middle,"[8010, 8009, 9105, 8014, 8139, 8135]",10.59220408
31,3.442442688,0.52,0.01,"['6662', '3075', '3047', '4401', '3193', '3143']",5.372658538,Top,"[8437, 8446, 8429, 8451, 9111, 9105]",9.763925061
42,3.12624485,0.48,0,"['3078', '3020', '3094', '3031', '3033', '3508']",6.087359222,Middle,"[8021, 8009, 9103, 8014, 8304, 8345]",10.35626643
122,2.74677613,0.5,0.53,"['6631', '3053', '3047', '3742', '3065', '3075']",5.989911168,Top,"[8010, 9111, 9105, 8299, 8275, 8234]",9.662716115
131,3.039049637,0.51,0.05,"['4636', '3020', '3157', '3100', '3115', '3089']",5.110873823,Middle,"[8112, 8143, 8138, 8135, 8233, 8236]",9.850708661
119,2.820859861,0.49,0.08,"['6691', '3006', '6676', '3031', '3072', '3094']",6.169083513,Bottom,"[9923, 8139, 8138, 8135, 8009, 9103]",8.766629281
36,3.29887879,0.49,0.01,"['3068', '3065', '3075', '3047', '3083', '3742']",3.848226454,Top,"[8021, 9111, 9105, 8299, 8304, 8410]",8.782888613
245,3.732447044,0.51,0.11,"['3152', '3020', '3100', '3157', '3089', '3165']",3.021655639,Jungle,"[8128, 8143, 8138, 8135, 8304, 8321]",8.982545607
60,3.558106272,0.5,0.01,"['4636', '3020', '3157', '3100', '3165', '3135']",0.781025572,Jungle,"[8112, 8126, 8138, 8105, 8275, 8232]",9.828527566
28,4.120261308,0.48,0.1,"['4636', '3020', '3100', '3089', '3041', '3135']",0.623810805,Jungle,"[8112, 8143, 8138, 8105, 8233, 8236]",8.177757164
81,3.356584485,0.46,0.03,"['6632', '3158', '3153', '3074', '6694', '6609']",5.933406874,Bottom,"[8010, 8009, 9103, 8014, 8226, 8210]",9.773485312
9,3.74133859,0.5,0.02,"['3152', '3020', '3157', '3165', '3089', '4637']",1.134126731,Jungle,"[8128, 8126, 8138, 8106, 8313, 8347]",6.312473416
114,2.42187363,0.5,0.09,"['3078', '3074', '3047', '6333', '3053', '3153']",5.896492931,Top,"[8010, 9111, 9104, 8014, 8446, 8473]",9.363015509
105,3.57826063,0.52,0.23,"['4636', '3020', '3100', '3157', '3089', '3041']",5.180795325,Middle,"[8112, 8143, 8138, 8135, 9111, 8014]",9.949106971
3,3.765685282,0.51,0,"['3152', '3111', '3157', '3165', '3075', '4637']",4.187021803,Middle,"[8439, 8401, 8473, 8451, 8275, 8210]",13.91881598
41,2.934200653,0.46,0,"['3078', '6676', '3047', '3508', '3031', '6675']",6.247049765,Top,"[8437, 8446, 8473, 8451, 8345, 8352]",9.558552299
86,3.446252587,0.52,0.04,"['6631', '3742', '3006', '3053', '3075', '3071']",5.902586247,Top,"[8010, 9111, 9105, 8299, 8429, 8451]",9.659775281
150,2.91698105,0.5,0.01,"['6632', '3047', '3071', '3053', '3742', '3075']",5.831241075,Top,"[8021, 9111, 9104, 8014, 8446, 8473]",9.961219737
79,3.518968316,0.48,0,"['4636', '3020', '3157', '3100', '3165', '3089']",2.760814258,Jungle,"[8124, 8143, 8138, 8105, 8234, 8232]",10.00559947
104,3.386616926,0.47,0.07,"['6671', '6676', '3006', '3072', '3031', '3071']",1.582671875,Jungle,"[8230, 8275, 8233, 8232, 9111, 9104]",8.829345483
