id,KDA,WinRate,BanRate,Builds,CS,Role,Runes,Vision
266,2.728510176,0.45,0.05,"['6630', '3047', '3071', '3074', '3053', '6333']",5.252746212,Top,"[8010, 9111, 9105, 8299, 8139, 8135]",8.626859087
103,3.563754247,0.5,0.02,"['6655', '3020', '3157', '3165', '3089', '4628']",4.836492446,Middle,"[8112, 8139, 8138, 8106, 8226, 8210]",10.57942738
84,2.851877715,0.45,0.14,"['4633', '3020', '3157', '3100', '3165', '4637']",4.738500629,Middle,"[8021, 8009, 9105, 8014, 8139, 8135]",9.376017826
12,3.654816737,0.49,0,"['3190', '3117', '3050', '3109', '3075', '3107']",1.244383521,Support,"[8439, 8446, 8429, 8451, 8345, 8347]",21.69545798
32,3.827794255,0.53,0.11,"['3068', '3047', '3075', '4637', '3001', '3143']",0.81015292,Jungle,"[8010, 9111, 9105, 8299, 8126, 8135]",8.667727165
34,3.912802466,0.53,0.03,"['6653', '3020', '3157', '4637', '3165', '3089']",4.809086201,Middle,"[8112, 8126, 8138, 8135, 8009, 8014]",11.01699261
1,3.21832298,0.51,0.02,"['6655', '3020', '3157', '3165', '3089', '3135']",4.608208618,Middle,"[8112, 8126, 8138, 8105, 8234, 8237]",10.60119698
523,2.626408974,0.45,0.03,"['6672', '3006', '3085', '3031', '3072', '3508']",5.555666408,Bottom,"[8010, 9101, 9103, 8017, 8139, 8135]",9.242843327
22,3.182524942,0.5,0.02,"['6672', '3006', '3085', '3153', '3031', '3508']",4.843465342,Bottom,"[8008, 8009, 9104, 8014, 8304, 8410]",10.11470012
136,3.139331374,0.46,0,"['4005', '3116', '3020', '3157', '4637', '3165']",4.723367238,Middle,"[8112, 8139, 8138, 8105, 8345, 8352]",9.635683761
268,2.435906204,0.42,0,"['6653', '3115', '3020', '3157', '3165', '3089']",5.333309068,Middle,"[8008, 8009, 9104, 8014, 8226, 8210]",9.815106869
432,3.960790421,0.49,0,"['4005', '3009', '3742', '3107', '6616', '3094']",0.893386085,Support,"[8465, 8463, 8473, 8453, 8136, 8105]",25.63240397
53,3.430771476,0.49,0.16,"['3190', '3117', '3050', '3109', '3075', '3110']",1.179062682,Support,"[8439, 8446, 8429, 8451, 8345, 8347]",20.65601228
63,2.65195442,0.53,0.2,"['6653', '3020', '4637', '3157', '3165', '3116']",1.993966287,Support,"[8128, 8139, 8138, 8135, 8226, 8237]",21.47212438
201,3.963727084,0.48,0,"['3190', '3050', '3047', '3109', '3075', '3107']",1.213816133,Support,"[8465, 8463, 8473, 8242, 8345, 8347]",21.51698198
51,3.160801454,0.48,0.12,"['6672', '3006', '3095', '3031', '3094', '6676']",5.636983685,Bottom,"[8021, 8009, 9103, 8014, 8275, 8236]",9.232744048
164,2.695346675,0.47,0.01,"['3078', '3074', '3047', '3053', '6333', '6609']",4.924485132,Top,"[8437, 8401, 8473, 8451, 8304, 8345]",8.820807944
69,2.722634159,0.49,0.02,"['6653', '3116', '3157', '3165', '4637', '3089']",5.574138229,Middle,"[8010, 8009, 9105, 8014, 8139, 8135]",9.913537964
31,3.463653677,0.52,0.02,"['6662', '3075', '3047', '4401', '3193', '3143']",4.846791208,Top,"[8437, 8446, 8429, 8451, 9111, 9105]",9.2958323
42,2.933527343,0.49,0,"['3078', '3020', '3094', '3031', '3072', '3033']",5.474977502,Middle,"[8021, 8009, 9103, 8014, 8304, 8345]",9.556603774
122,2.703049732,0.49,0.53,"['6631', '3047', '3053', '3742', '3065', '3071']",5.481492556,Top,"[8010, 9111, 9105, 8299, 8275, 8234]",8.988114872
131,3.10947348,0.51,0.06,"['4636', '3020', '3157', '3100', '3115', '3089']",4.494874012,Middle,"[8112, 8143, 8138, 8135, 8233, 8236]",9.509540734
119,2.812684038,0.47,0.1,"['6692', '3006', '6676', '3031', '3072', '3094']",5.609863896,Bottom,"[9923, 8139, 8138, 8135, 8009, 9103]",8.213508789
36,3.32231502,0.51,0.01,"['3068', '3065', '3075', '3047', '3083', '3742']",3.619191074,Top,"[8021, 9111, 9105, 8299, 8304, 8410]",8.434556319
245,3.636772225,0.51,0.1,"['3152', '3020', '3100', '3157', '3089', '3165']",2.761306354,Jungle,"[8128, 8143, 8138, 8135, 8304, 8321]",8.829093987
60,3.275330287,0.49,0,"['4636', '3020', '3157', '3100', '3165', '3135']",0.781920153,Jungle,"[8112, 8126, 8138, 8105, 8275, 8232]",9.436625472
28,3.730906734,0.48,0.04,"['4636', '3020', '3100', '3089', '3041', '3135']",0.596139288,Jungle,"[8112, 8143, 8138, 8105, 8233, 8236]",8.188724627
81,3.360437819,0.47,0.03,"['6632', '3158', '3153', '3074', '6694', '6609']",5.371795413,Bottom,"[8010, 8009, 9103, 8014, 8226, 8210]",9.120235247
9,3.453508834,0.49,0.01,"['3152', '3020', '3157', '3165', '4637', '3089']",1.129376,Jungle,"[8128, 8126, 8138, 8106, 8313, 8347]",5.534843828
114,2.511467304,0.49,0.07,"['3078', '3074', '3047', '6333', '3053', '3153']",5.429777229,Top,"[8010, 9111, 9104, 8014, 8446, 8473]",8.846703921
105,3.577380787,0.52,0.26,"['4636', '3020', '3100', '3157', '3089', '3165']",4.663519043,Middle,"[8112, 8143, 8138, 8135, 9111, 8014]",9.495275104
3,3.608400982,0.5,0,"['3152', '3111', '3157', '3165', '3075', '4637']",3.869400591,Middle,"[8439, 8401, 8473, 8451, 8275, 8210]",12.4359994
41,2.860622707,0.45,0,"['3078', '6676', '3047', '3508', '3031', '6675']",5.800362319,Top,"[8437, 8446, 8473, 8451, 8345, 8352]",9.224692697
86,3.462563993,0.52,0.07,"['6631', '3742', '3006', '3053', '3071', '3075']",5.424920171,Top,"[8010, 9111, 9105, 8299, 8429, 8451]",9.038696921
150,2.821970541,0.49,0.01,"['6632', '3047', '3071', '3742', '3053', '3075']",5.359506673,Top,"[8021, 9111, 9104, 8014, 8446, 8473]",9.304193121
79,3.255488085,0.46,0,"['4636', '3020', '3157', '3100', '3165', '3089']",2.129286068,Jungle,"[8124, 8143, 8138, 8105, 8234, 8232]",9.57632152
104,3.275995276,0.46,0.03,"['6671', '6676', '3006', '3072', '3031', '3142']",1.594731183,Jungle,"[8230, 8275, 8233, 8232, 9111, 9104]",8.564577417
120,4.139564207,0.51,0.12,"['3078', '3047', '3053', '6333', '3742', '3065']",0.928654303,Jungle,"[8010, 9111, 9104, 8014, 8143, 8135]",8.282758974
74,2.634413268,0.51,0,"['6653', '3020', '3157', '3165', '3089', '3116']",5.170050058,Middle,"[8229, 8226, 8210, 8237, 8139, 8135]",9.68805262
420,2.362293573,0.52,0.11,"['6630', '3047', '3053', '6333', '3071', '3065']",6.073901675,Top,"[8010, 8009, 9105, 8299, 8139, 8135]",8.815922688
39,2.321628535,0.45,0.06,"['3078', '3153', '3047', '3053', '6333', '3091']",6.507518793,Top,"[8010, 9111, 9104, 8299, 8345, 8352]",9.089920463
